Time,cyber_I_PhaseA,cyber_I_PhaseB,cyber_I_PhaseC,cyber_V_PhaseA,cyber_V_PhaseB,cyber_V_PhaseC,fault_classification,flag_detection,flag_cyber
0,-0.111083266,-0.411301449,0.522384715,-0.109137957,-0.781781918,0.890919875,0,0,0
5.00E-05,-0.102597187,-0.416988884,0.519586071,-0.093957164,-0.790753519,0.884710683,0,0,0
0.0001,-0.094085769,-0.422573451,0.516659219,-0.078753174,-0.799530029,0.878283203,0,0,0
0.00015,-0.085551113,-0.42805377,0.513604883,-0.063529723,-0.808109291,0.871639014,0,0,0
0.0002,-0.076995327,-0.433428487,0.510423814,-0.048290556,-0.816489193,0.864779749,0,0,0
0.00025,-0.068420525,-0.438696275,0.5071168,-0.033039423,-0.824667672,0.857707095,0,0,0
0.0003,-0.059828824,-0.443855832,0.503684656,-0.017780084,-0.832642709,0.850422793,0,0,0
0.00035,-0.05122235,-0.448905882,0.500128232,-0.002516302,-0.840412337,0.842928639,0,0,0
0.0004,-0.042603228,-0.453845177,0.496448405,0.012748153,-0.847974635,0.835226482,0,0,0
0.00045,-0.033973589,-0.458672497,0.492646086,0.028009509,-0.855327732,0.827318223,0,0,0
0.0005,-0.025335566,-0.463386647,0.488722214,0.043263991,-0.862469808,0.819205817,0,0,0
0.00055,-0.016691294,-0.467986465,0.484677758,0.058507825,-0.869399095,0.81089127,0,0,0
0.0006,-0.008042906,-0.472470812,0.480513718,0.073737238,-0.876113875,0.802376637,0,0,0
0.00065,0.000607461,-0.476838582,0.476231121,0.088948462,-0.882612486,0.793664024,0,0,0
0.0007,0.009257672,-0.481088698,0.471831026,0.104137732,-0.888893318,0.784755586,0,0,0
0.00075,0.017905592,-0.48522011,0.467314518,0.119301293,-0.894954818,0.775653525,0,0,0
0.0008,0.026549088,-0.489231799,0.462682711,0.134435397,-0.900795487,0.76636009,0,0,0
0.00085,0.035186027,-0.493122776,0.457936749,0.149536305,-0.906413882,0.756877577,0,0,0
0.0009,0.04381428,-0.496892082,0.453077802,0.16460029,-0.911808618,0.747208327,0,1,0
0.00095,0.05243172,-0.500538787,0.448107068,0.179623636,-0.916978363,0.737354727,0,1,0
0.001,0.06103622,-0.504061993,0.443025773,0.19460264,-0.921921846,0.727319207,0,1,0
0.00105,0.069625661,-0.507460831,0.43783517,0.209533609,-0.92663785,0.717104241,0,1,0
0.0011,0.078197924,-0.510734464,0.43253654,0.224412866,-0.931125214,0.706712348,0,1,0
0.00115,0.086750895,-0.513882083,0.427131188,0.239236744,-0.935382834,0.696146091,0,1,0
0.0012,0.095282467,-0.516902914,0.421620448,0.254001591,-0.939409664,0.685408073,0,1,0
0.00125,0.103790534,-0.519796212,0.416005678,0.268703769,-0.943204711,0.674500942,0,1,0
0.0013,0.112272999,-0.522561262,0.410288263,0.283339652,-0.94676704,0.663427388,0,1,0
0.00135,0.120727769,-0.525197384,0.404469614,0.29790563,-0.950095774,0.652190143,0,1,0
0.0014,0.12915276,-0.527703926,0.398551166,0.31239811,-0.95319009,0.64079198,0,1,0
0.00145,0.137545892,-0.53008027,0.392534378,0.326813514,-0.956049223,0.62923571,0,1,0
0.0015,0.145905094,-0.532325829,0.386420735,0.341148283,-0.958672469,0.617524186,0,1,0
0.00155,0.154228304,-0.53444005,0.380211746,0.355398879,-0.961059177,0.605660298,0,1,0
0.0016,0.162513468,-0.536422409,0.373908941,0.369561785,-0.963208759,0.593646975,0,1,0
0.00165,0.17075854,-0.538272418,0.367513878,0.383633504,-0.965120684,0.58148718,0,1,0
0.0017,0.178961486,-0.539989619,0.361028133,0.397610565,-0.966794479,0.569183913,0,1,0
0.00175,0.187120281,-0.541573588,0.354453307,0.411489521,-0.968229732,0.556740211,0,1,0
0.0018,0.195232911,-0.543023934,0.347791022,0.425266949,-0.969426091,0.544159142,0,1,0
0.00185,0.203297374,-0.544340298,0.341042924,0.438939452,-0.970383261,0.531443809,0,1,0
0.0019,0.211311678,-0.545522354,0.334210677,0.452503661,-0.971101009,0.518597348,0,1,0
0.00195,0.219273844,-0.546569811,0.327295967,0.465956232,-0.971579159,0.505622926,0,1,0
0.002,0.227181908,-0.54748241,0.320300502,0.47929385,-0.971817593,0.492523744,0,0,0
0.00205,0.235033916,-0.548259923,0.313226008,0.492513225,-0.971816256,0.479303031,0,0,0
0.0021,0.24282793,-0.54890216,0.30607423,0.5056111,-0.971575148,0.465964048,0,0,0
0.00215,0.250562025,-0.549408961,0.298846936,0.518584242,-0.971094327,0.452510085,0,0,0
0.0022,0.258234292,-0.5497802,0.291545907,0.53142945,-0.970373913,0.438944463,0,0,0
0.00225,0.265842839,-0.550015785,0.284172947,0.544143552,-0.969414081,0.425270528,0,0,0
0.0023,0.273385786,-0.55011566,0.276729874,0.556723408,-0.968215065,0.411491657,0,0,0
0.00235,0.280861273,-0.550079798,0.269218525,0.569165906,-0.966777157,0.397611251,0,0,0
0.0024,0.288267456,-0.54990821,0.261640754,0.581467972,-0.965100709,0.383632737,0,0,0
0.00245,0.295602508,-0.549600938,0.25399843,0.593626563,-0.963186131,0.369559569,0,0,0
0.0025,0.302864621,-0.549158059,0.246293438,0.605638671,-0.961033892,0.355395221,0,0,0
0.00255,0.310052004,-0.548579682,0.238527679,0.617501326,-0.958644519,0.341143193,0,0,0
0.0026,0.317162884,-0.547865952,0.230703068,0.629211597,-0.956018601,0.326807004,0,0,0
0.00265,0.32419551,-0.547017045,0.222821535,0.640766591,-0.953156783,0.312390192,0,0,0
0.0027,0.331148146,-0.546033171,0.214885025,0.652163457,-0.950059773,0.297896316,0,0,0
0.00275,0.33801908,-0.544914574,0.206895494,0.663399384,-0.946728337,0.283328952,0,0,0
0.0028,0.344806618,-0.543661531,0.198854913,0.674471603,-0.943163298,0.268691694,0,0,0
0.00285,0.351509085,-0.542274351,0.190765265,0.685377388,-0.93936554,0.253988151,0,0,0
0.0029,0.35812483,-0.540753377,0.182628546,0.696114055,-0.935336004,0.239221949,0,0,0
0.00295,0.36465222,-0.539098984,0.174446764,0.706678961,-0.931075688,0.224396727,0,0,0
0.003,0.371089645,-0.53731158,0.166221935,0.717069507,-0.926585648,0.20951614,0,0,0
0.00305,0.377435517,-0.535391607,0.15795609,0.727283138,-0.921866995,0.194583857,0,0,0
0.0031,0.383688268,-0.533339536,0.149651268,0.73731734,-0.916920897,0.179603557,0,0,0
0.00315,0.389846355,-0.531155874,0.14130952,0.747169641,-0.911748576,0.164578935,0,0,0
0.0032,0.395908256,-0.528841159,0.132932902,0.756837614,-0.90635131,0.149513696,0,0,0
0.00325,0.401872476,-0.52639596,0.124523484,0.766318876,-0.90073043,0.134411554,0,0,0
0.0033,0.40773754,-0.52382088,0.116083341,0.775611087,-0.894887323,0.119276236,0,0,0
0.00335,0.413501999,-0.521116554,0.107614555,0.784711951,-0.888823428,0.104111476,0,0,0
0.0034,0.419164431,-0.518283649,0.099119218,0.79361922,-0.882540238,0.088921018,0,0,0
0.00345,0.424723437,-0.515322862,0.090599425,0.802330691,-0.876039301,0.073708611,0,0,0
0.0035,0.430177644,-0.512234923,0.082057279,0.810844207,-0.869322217,0.058478011,0,0,0
0.00355,0.435525706,-0.509020596,0.07349489,0.819157661,-0.86239064,0.043232979,0,0,0
0.0036,0.440766303,-0.505680672,0.064914368,0.827268997,-0.855246275,0.027977279,0,0,0
0.00365,0.445898143,-0.502215975,0.056317833,0.835176206,-0.847890884,0.012714679,0,0,0
0.0037,0.450919958,-0.498627362,0.047707404,0.842877334,-0.840326279,-0.002551054,0,0,0
0.00375,0.455830511,-0.494915718,0.039085206,0.850370477,-0.832554326,-0.017816151,0,0,0
0.0038,0.460628591,-0.491081958,0.030453367,0.857653786,-0.824576941,-0.033076845,0,0,0
0.00385,0.465313015,-0.487127031,0.021814016,0.864725464,-0.816396095,-0.04832937,0,0,0
0.0039,0.469882628,-0.483051911,0.013169283,0.871583768,-0.808013806,-0.063569963,0,0,0
0.00395,0.474336304,-0.478857606,0.004521302,0.878227008,-0.799432145,-0.078794864,0,0,0
0.004,0.478672945,-0.474545151,-0.004127794,0.884653549,-0.790653231,-0.094000318,0,0,0
0.00405,0.482891482,-0.47011561,-0.012775872,0.890861808,-0.781679233,-0.109182574,0,0,0
0.0041,0.486990875,-0.465570077,-0.021420799,0.896850257,-0.772512367,-0.124337889,0,0,0
0.00415,0.490970114,-0.460909673,-0.030060441,0.902617421,-0.763154897,-0.139462524,0,0,0
0.0042,0.494828216,-0.456135548,-0.038692668,0.908161881,-0.753609132,-0.154552749,0,0,0
0.00425,0.49856423,-0.451248881,-0.047315349,0.913482271,-0.743877429,-0.169604841,0,0,0
0.0043,0.502177235,-0.446250877,-0.055926358,0.918577278,-0.73396219,-0.184615087,0,0,0
0.00435,0.505666338,-0.441142769,-0.064523569,0.923445646,-0.723865861,-0.199579785,0,0,0
